,Title,Review,Rating
0,Go for any other company rather than this company if are investing huge money.,OnePlus you trash I bought new OnePlus 6t on January for 38k- 128gb 6gb-ram varient and now OnePlus 7 is launched for for 33k-128gb 6gb varient. What kind of game is this brand playing with its customers. Seriously you wanna be Apple started increasing price of your phone and now when you realise that it's not possible for you to stay in the market you decreased the price of your next phone. This shows how week one plus is. It doesn't have the balls to compete and retain its customers.,1.0
1,Worst performance,"Camera was shutting off suddenly and charging was not upto the mark service centre was not doing well,heating issue on voice calls think I ve got defective piece",4.0
2,Best phone,Best phone,5.0
3,Mobile is good know at reasonable cost.,"Everything is fine & up to the mark, with reasonable cost & oxygen os software is something unique and super fast in comparison to other android phones.",4.0
4,Satisfied :),"The delivery was fast and the phone is awesome. I have been using it for months now, and the review just keeps getting more positive.",5.0
5,good,all the features are awesome,5.0
6,VFM,"Fingerprint reader although cool, is sluggish",4.0
7,Oneplus is best product is oneplus 6t,Very complicated product se very good,5.0
8,Perfect 1 with good camera,Good device but want to see what difference will bring with oneplus 7...,5.0
9,Awesome,Perfect at this price,5.0
10,Not too good,Phone hanging problem even 6gb ram . Finger print not proper working,2.0
11,Good phone except for the battery,Touch is little concern..rest all ok.battery gets charged fast enough..but gets drained very quickly.,4.0
12,Great features and grand performance .,All features are very nice and user friendly.,5.0
13,Not hai good phone seriously not satisfied,My phone is not working properly some days before the motherboard has been replace but the problem hasn’t been solved,1.0
14,Best,Best,5.0
15,Value for price,Amazing phone under this price,4.0
16,Best phone in the world for me,Super phone fastest phone till now in my life 10 GB ram,5.0
17,Zin zing zing zhigat,Best phone ever,5.0
18,About price decrease,I am very sad because I bought 6T the price 41999/-But after one month the price decrease to 32000/-its very bad,1.0
19,Perfect smartphone,Loved the phone,5.0
20,"Good Phone but camera can be better, Value for money !!",Oneplus has always been my favourite device. This is my 3rd Oneplus phone  and I have decided to use Oneplus for life.Pros:Great battery lifeAmazing performancePremium designIn display fingerprint scanner is really fastface recognition is goodDash charging is one of the highlight of the phone.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -Cons:No headphone jack but you'll get a converterThere is no notification ledNo Memory card slotAll glass this makes the phone fragileBit HeavyWeak camera quality in this price range4.5 OUT OF 5 - Sachin Soni,4.0
21,Premium phone,This is one of my dream phone. Speed is awesome and front camera is ok not so great as compared to other phone. But rear camera is cool. Till now no issue.. Oxygen is cool and easy to customise... Overall it's killer phone got just exchange discount with my MI A1.,5.0
22,Substandard quality,The phone comtinously hangs,1.0
23,Perfect buy,Superb phone. Loved it. Great speed and easy to use. Light weight compared to models of similar screen size.,5.0
24,Good,Good product,4.0
25,Speed in work,Dont have words to express its speed and  working loving it .,5.0
26,Speed Goods,Amazing Mobile,5.0
27,My Dream Phone,Nothing bad words for 6TJust love it,5.0
28,Faulty sensor,Fingerprint sensor is not at all working and it's been only 4days I bought it.. Don't buy such a waste of money.,1.0
29,Value for money,"Best quality premium phone by one plus. Good touch, long battery life and tough built quality. Good amera quality even in low light.",5.0
30,I love the phone. Its looks sexy and easy to use,I love the phone. Worth of money i spend,5.0
31,Faulty finger print need replacement,Finger print is not  working,2.0
32,"6GB Ram at 29,999.","In one of the mall 6GB is sold at 29,999.",3.0
33,Not worth money.,"One plus 6t was marketed as best smartphone of the market but it's not. I have used this for 3-4 months to tell difference. Before this I've used MI phone and they are better when it comes to user interface.Cons1. On screen fingerprint sensor is horrible. Face detection is horrible. Night time u have to use ur code to unlock ur phone.2. If you have google chromecast then one plus is a bad choice. U cannot caste amazing time video on TV. U can caste device but it'll show blind screen. Also u cannot watch HD quality on Netflix.3. It has major glich for sound. Sometimes u cannot reduce or increase sound it'll stay the same. If u r listening song and u connect bullet headphones then sound doesn't transfer to headphone, it'll continue from mobile speakers. Also it has lot of issues with Bluetooth, when disconnected from car Bluetooth device there is problem again with sound button. U have to restart ur phone to make it workable. The problem with is sound button is actually software problem and it's very annoying.4. It doesn't have IR sensor for universal remote. Which is very useful.Pros1. It's very fast.2. Camera is good quality.3. Speed charging is very good. I get full battery within 40 minute charge.Overall I am bit disappointed using this phone because they have not done proper research on user interface. Doesn't give premium feeling. My previous MI phone was very good in that case. Absolutely not worth 40k.",3.0
34,Not satisfied,Dissatisfied ..not hearing I incoming calls voice.,1.0
35,Battery week,Battery life is week 😭😫😣😣,5.0
36,Amazing,Nice smartphone,5.0
37,love it,wonderfullove this phone,5.0
38,Beat phone till date,"Camera quality , speed of phone , charging speed all are working excellent",5.0
39,Its gud,Hi,5.0
40,Nice one,Very good phone,5.0
41,Awesome phone,Is good the phone is awesome camera is wonderful..,5.0
42,One plus 6t,Very good,5.0
43,Poor inbuilt finger print and camera,"OnePlus used to be the best,its having amazing speed and performance.but camera is not good as we see in demo phone in store.finger print also not satisfied.rest everything is awesome.",3.0
44,"Best mobile. But, rate may be reduced.",Cost of mobile Higher.,5.0
45,awesome video,Nice product,5.0
46,Performance,"Good smartphone, looks premium",5.0
47,It has hanging problem,Phone is local,3.0
48,Good but,Everything is amazing I don't have to explain but fingerprint scanner is slow.,5.0
49,Pathetic Battery Life,Phone is getting heatup on charging and battery is draining very fast!!!,1.0
50,Jeeban,Fantastic thanks OnePlus,5.0
51,My opinion on this phone,"This phone is best in this price range. Camera quality is best battery life is excellent and it's quick charger is really very quick. At the start you might face issue with the fingerprint sensor but when you get use to it,it becomes handy",5.0
52,Handset,Awesome,5.0
53,Its excellent,Iam very much satisfied,5.0
54,Value for money,Decent n value for money,5.0
55,V.gud,V.good bettry backup,5.0
56,Go for it,Good product,5.0
57,Fully satisfied,Fully satisfied,5.0
58,Good,Camera Qwaliti is normal,5.0
59,Good,Good,5.0
60,Good phone,Nice one,5.0
61,Superb phone,Superfast phone,5.0
62,Just go for it,Too good,5.0
63,Worth for money,Best mobile I have used so far,5.0
64,Very poor experience with Amazon,Finger sensor not working,3.0
65,Good,Good,5.0
66,Very Good,Very Good,5.0
67,BUY KARO FRIEND'S NO ONE,NICE PRODUCT,4.0
68,Awesome product..,Great features with super fast RAM,5.0
69,Battery,Battery life,4.0
70,1 of the best phone.,Best phone under this price segment,4.0
71,Beautiful piece of machinery.,"Everything about the device is amazing but only one thing disappoints me, The notification slider. It's built quality is okay. If it matches the quality of Apple, then I'd have no complaints. I hope the company will work on this issue in the models to come.",4.0
72,#oneplus7series,#oneplus7series,5.0
73,1 plus 6t,"As expected, it's amazing",5.0
74,Best,"One of the best phone,packing of oneplus,desing and build quality of oneplus is awesome.I love oneplus devices.",5.0
75,Excellent plus,Best gaming phone till I used,5.0
76,It is best in this segment,It is best in this segment,5.0
77,Right side speaker not working,Mobile was good I got it yesterday from Amazon only the problem is tight side speaker not working what can I do now,4.0
78,Happy with OnePlus 6t,"My 6t fell from 2nd floor facing the display floor side, to the surprise the screen didn't even get a single scratch.. Rest are - Design is good, smooth performance, camera quality is fine, battery life is also good enough but Finger print reader is not good at all, it doesn't work most of the time..",5.0
79,"Product is good, Amazon's delivery to be improved","Product is good, Amazon's delivery to be improved",3.0
80,Masterpiece,Amazing speed. Camera Quality can improve. fingerprint sensor is little slow,4.0
81,Worse,Fingerprint sensor is not working upto the satisfaction,1.0
82,Best,Like,5.0
83,Amazing device.,Excellent Speed and Quality of camera,5.0
84,Excellent phone,Worth the purchase for a limited edition collector's item,5.0
85,Awesome Phone.,It is Beast.,5.0
86,Fantastic mobile,Its an awsm mobile i ever had...Good go one plus🥰,5.0
87,"Camera was not upto the mark as one plus phone's have, I have doubt on the product I have received","I really love this phones of one plus,but the camera quality of the phone is not like one plus mobile phones I think I have to return this mobile",3.0
88,Money is worth,Best,5.0
89,Just awesome,Awesome,5.0
90,Great,Great phone,5.0
91,"OnePlus 6T (Midnight Black, 8GB RAM, 128GB","OnePlus 6T (Midnight Black, 8GB RAM, 128GB",5.0
92,Amazing phone,Go for it,4.0
93,Loving it,Superbbbb,5.0
94,Oneplus Rocks!,"Oneplus rocks as usual, this is my second oneplus after 5t, I was very happy with 5t so I bought 6t for my wify, and now we r a oneplus family. Product is just awesome unless you r really unlucky, thanks to Oneplus and Amazon.",5.0
95,Awesome,Awesome,5.0
96,Best phone,Valuable phone for a one..,4.0
97,Just Awesome,Everything is best in this Phone.,5.0
98,All the best,All the best,5.0
99,FABULOUS TO CORE,Nice phone,5.0
100,Great Experience.Value for money,Happy user of One Plus 6T.,5.0
101,worth every penny,screen can be better,4.0
102,Awesome phone,Awesome phone nothing can beat OnePlus,5.0
103,Best phone with great discount from Amazon,"Great phone ,gud speed, superb camera , music can be better music not best in competition with other phones , rest all is superb",5.0
104,Good!,Great Performance! With the 8Gb random access memory your phone doesn't lag or heat up. Unlocking through finger print lags! Sometimes it even doesn't recognize! But face unlock is smooth and fast. Overall it's great!,5.0
105,Superb product one plus 6t,One plus will be always my favorite,5.0
106,Replacement of the phone,Incoming call voice was were low i had problem with this so I want to refund amount or replacement of the phone,4.0
107,Shifting from Moto G5 plus to OnePlus 6T,This is the best phone I ever used so far. Face recognition works like a thunder and the onscreen fingerprint is fast but not as fast as OnePlus 6. And there is 0% issues with performance but Being a heavy user I use my phone more often so the battery dries up by end of the day. Only good thing is charging takes only few minutes to get to 100%.,5.0
108,Excellent,Excellent,5.0
109,Ok,Not bad,4.0
110,Nice,Value for money,5.0
111,Good,"Still need to improve camera stability and low light shot not upto the mark.. Figer print sensor need more upgrate in future model. Use interface great, fast good battery.. Plz work on camera 1+",5.0
112,OnePlus 6T,Very good product,5.0
113,Radiation high,Ok good but radiation is very high,5.0
114,1+ 6T,"Fluid performance,No lag,Like iOS is for Apple and OnePlus is for Android.Superb..Cons only in camera deptIt's good and I'm not saying bad, should be better",5.0
115,Review after 2 months!!!,"Picture quality is not upto mark.However, performance and screen is amazing.Fingerprint reader is not slow but not disappointing.Battery life is long lasting (have tested with 8 hrs continuous playing of modern combat 5)",5.0
116,Totally worth,"Finger print scanner is little slow but overall best value and worth the price you are getting , awesome device and thanks amazon for delivering on time",4.0
117,Nice phone ..thanks oneplus,Good ..nice phone,5.0
118,I wnt invoice bill,Bill is not given,5.0
119,nice,nice,5.0
120,"Love the phone, but the fingerprint and face recognition needs some work","Love the phone - it's one of the best flagships out there. I bought it at full price a couple of months back.Pros:1. Fast2. Clean OS3. Plenty of internal storage4. OnePlus - a thing of beauty5. Great camera with great portrait and night modes6. Timely updates7. Free silicon case of great quality providedCons:1. Heats up when you use it continuously, even for simple activities such as browsing Quora2. In-display fingerprint sensor is quite slow. Considering I have used almost all the OnePlus models (and currently own both the 6 and 6T), the sensor is considerably slower than the counterpart3. I also use an iPhone XS Max which has only facial recognition and compared to it, the face recognition in 6T is so poor that it barely works. I have come to not rely on it at all4. A bit heavy if you use it for a long time in one hand - the phone with a tempered glass and the default OnePlus case tends to get heavyAreas for OnePlus to improve before they call themselves a flagship killer. But again, their motto is ""Never Settle"" and I hope they never settle down and keep innovating.",5.0
121,Good phone,All good. No complaints. User interface needs a bit change because all time OnePlus user gets bored with same interface. (I used OnePlus 2 before OnePlus 6t),5.0
122,performance is great....camera is average ....display looks decent...,delivery of product was little bit late took 5 days to reach me....packing was gud....received it without any damage ...now about the phone ....performance is great ....camera is average not tat great .....display is ok....till now no lag while playing pubg  ...sumtimes i felt touch was not tat responsive....battery life is also gud ....,4.0
123,Awesome,Excellent phone which I ever use,5.0
124,Awesome mobile at ₹31500,This mobile is really awesomePros:Good camera (both front and rear camera)Night scape mode is good in low light conditionFingerprint sensor and face recognition both are  very fastDisplay is awesomeCons:For me the dissapointed thing in this mobile is battery life. For a normal user it could be last up-to 10hrs but for a heavy users and gamers the battery will last up-to 6-7hrs.In some reviews the users pointed that the speaker which is on right side at the bottom  is not working.After receiving my mobile I checked it. It's really not working.so I searched in YouTube and came to know that it was a microphone.Finally the mobile is very very good.,5.0
125,Oneplus 6t Mclaren is just awesome,Mclaren is truly good mobile. I am satisfied after using it from last April. Network & Speed level are also very very useful & comfortable than any other phone,4.0
126,Very fast and I liked it's charging speed,Awesome phone.but Camera is not good as expected,5.0
127,Superb,Simply best in this price range,5.0
128,Awesomeness redefined,Awesome product for ₹32999,5.0
129,Value for money.,The finger print is a bit slow,5.0
130,Heating,Heating while using the normal call,5.0
131,OnePlus 6T,Excellent phone at this price. Face and fingerprint sensors are quick and good. Expected a better battery life but Dash charging allows rapid charge.Camera quality is awesome. Especially night scape and image stabilization are big plus. No performance issues due to high RAM and quite sufficient storage,5.0
132,Awesome Mobile,"Thanks oneplus for making this beautiful mobile. I had used almost all comanies mobile even apple also but oneplus mobile is over and above everyone. If anyone is thinking to buy, then don't think just buy it.",5.0
133,Good,Good,5.0
134,Flagship Killer.....,Superb phone picture quality was too good.Experience the actual 4g speed.Value for money,5.0
135,OnePlus 6T🤩,The fingerprint sensor is a bit slow to recognise .. with Samsung M series mobile having battery life of around 5000 Mah OnePlus 6T seems to be have a reduced battery life . Otherwise the phone is perfect!! I luv it ❤️,4.0
136,Amazing Phone,An excellent phone with a good camera and fast charging ..the 8gb ram and a powerful processor ensures smooth and seamless performance..,5.0
137,Great Phone,Great Phone,5.0
138,Good experience,Nice performance but fingerprint reader was taking so much time but Mobile performance was good.,4.0
139,Good device.,Good battery life....fast charging.,4.0
140,Good,Can tell you much better after a month or so,4.0
141,Best phone yet,I like each and everything about this product from finger print scanner to the gameing mode the perfi is very good and very smooth...it's the best gameing phone ever for me.,5.0
142,Awesome,The bestets does not require any comments,5.0
143,Unsatisfied....😢😢😢,Not satisfied... Details of camera and finger print sensor are not as per the seller..,1.0
144,Good,Good one,4.0
145,Oneplus 6t,Awsome,5.0
146,Awesome phone,Must buy,5.0
147,BEST SMARTPHONE EVER,Oneplus 6T is one of the exceptionally brilliant smartphone. The most interesting feature is it's face recognition it works in the dark also.,5.0
148,Flagship killer,Everything is good value for money,5.0
149,Apps downloading promblem,That's not download apps from goggle play stores,5.0
150,Good one,It Google phone,5.0
151,Best you can get for under 40k,Simply bang for the buck,4.0
152,battery not goog,Battery is not goodscreen fingerprint takes time to unlock,4.0
153,What a phone,Better than iphone,5.0
154,Super 6t,OnePlus 6t is the best mobile I have used😍 Thanks Amazon,5.0
155,Op mobile,One plus mobile was very great charging speed and gaming was very nice overall awesome product by one plus,5.0
156,Very good,"Phone is too good,,, charging is very quick ,camera is very good in day light some troubles in night, picture quality not remain same as daylight.And my according the only problem is on screen fingerprint.other wise very good product.",5.0
157,NEVER SETTLE,"OnePlus- the name itself suggest more than one, and it justify its tagline too.Super fast fluidic experience.First of all price- 8+128 @31499 best in this segment, that's because 1) premium class handset, super build quality. 2) display is very good. 3) battery life is very good as compared to premium Samsung phones which costs around 40+ k. 4) charging speed is best in the market. 5) I was worried about on display fingure print scanner, but it's nice to use, 95%times it's open in first touch. 6) SD845- don't need to describe more, it always deliver, gamer do consider. 7) OS- best in the market- clean, fast, premium class. 8) camera is natural, best for those who don't wants  to show themselves. 9) position of physical button are at their best place, holding it in hand feels best and premium class. 10) in everything it wins than its competitors with a large margin.Just make it your own, it will never settle you.Thanks Amazon for delivering it super fast.Thank you all",5.0
158,Best Quality,Best Quality,5.0
159,Super,Excellent mobile phone,5.0
160,Very Good Phone,Speed,5.0
161,Great phone,"Bit slow in finger sensor otherwise a great phone to use. Amazing features..Dash charging, speed, camera. Worth every penny.",5.0
162,Nice,Its working awesome,4.0
163,Super,Super product,5.0
164,Opinion about my new OnePlus 6t 8GB/128GB version,"OnePlus 6t 8GB/128GB versionLikes:-Software updates,Oxygen OS with Stock Android skin layer, No Bloatware, Build Quality, Camera, SD 845, RAM, Internal Storage, price below 33K, Customisation options.Dislikes:-No head phone jack option, No FM radio, OnePlus accessories are costly, no headphones in the package box",4.0
165,OnePlus 6t,Awesome Loving it...,5.0
166,Nice product,"Awesome phone.if any one wish to change the brand in this price category.i would suggest it is the best option.only the negative is ,no headphones",5.0
167,Budget phone,Ok phone not as compare to Samsung or iPhone they are far better than OnePlus,1.0
168,Good,"Nice phone.. fast charge, instant speed, awesome cam",5.0
169,Good mobile,Excellent working,5.0
170,Great buy!,"Amazing phone. Great camera. On top of all this, got this at a cheapest price ever.",5.0
171,Charger  problems,Charger  bed,5.0
172,only drawback i feel is unresponsive fingerprint sensor,fingerprint is a hit and miss. otherwise great phone.,5.0
173,Love oneplus,Nothing much special. But overall a good package @ 31499.,4.0
174,Amazing product at the current price of 31500 but fingerprint scanner can be its Achilles heel.,"Best in class display, camera, processor and abundant Ram and storage for all your needs. Camera is perfect for night shots and even front facing camera won't fail you even in complete darkness. I love the dash charging in this, it charges Lightning fast!!. Only problem facing till now is with the in-display fingerprint scanner at times it won't recognise your fingerprint and you have to bypass it by facial recognition (which works fine with some light) or pin.",5.0
175,Value for money,Just a lack on the side it hangs at time. Rest all features are awesome,5.0
176,Good but my expectations were more,"Fingerprint reader is very slow,  battery life is good but phone become hot easily, face recognition is gud",4.0
177,Extra ordinary,"Honestly to say this is the finest and the best smartphone i have ever used. I have used samsung, moto and op one.but the  carisma this product has is extraordinary.dont see any issue with the fingerprint. I felt the fingerprint scanner is smooth.yes sometimes there is delay in reading the fingerprint but guyz this belong to the 1st gen and what else do you expect from a 1st gen tech. i loved the product, loved everything about this product. Keep up the good work one plus team.",5.0
178,Unlock the speed,"Fingerprint reader - just keep your phone on screen and the phone unlocks, no issues as many people said they have issue with thisBattery life - it gets drain if phone is used for gaming purpose, rest it is amazing for non game usersFace recognition - it's just amazing, just tap on phone or turn the power on and as soon as you look at the phone...booom it opens in a second 😍Some functions which has make me love this phone moreAdaptive brightnessQuick gesturesRing vibration button on side (just like iPhone)Parallel apps ( just like mi dual apps)And many moreAs OnePlus tagline is unlock the speed and it's a really amazing experience when it comes to speed. It works very smoothly.Just go for it",5.0
179,Clarity of pictures is too bad,I brought it for camera but it's too bad quality of pictures... Want to return it back😞,1.0
180,Best Phone,Just go for it without reading any negative review,5.0
181,Value for money,Got this for 33K in the sale and for that price range it was more than value for money. The fingerprint sensor did dissapoint few times but overall its worth a buy,5.0
182,Best product,Best,5.0
183,Amazing,Amazing product... delivery within 2 days..Thankyou,5.0
184,Worth the price,Excellent mobile. Worth the price. With SBI card got 1500 lesser.,5.0
185,Good,Nice,5.0
186,Awesome,Awesome phone all performance are good👍,5.0
187,Awesome purchase,Everything sooooooo gooooood,5.0
188,Oneplus 6t review,Firstly i will focus on the screen resolution its way better and yes high definition in every ways. Then the camera of this product its best in this range actually bestest . Lastly its best flagship phone ever i used.,5.0
189,Awesome mobile and fastest Delivery from Amazon.,Very good option one plus 6T,5.0
190,Best,Awesome,4.0
191,Best feature is the OxygenOS itself.,"OxygnOS is the only Android skin I would rather have than the Stock Android.Dash charging is super fast. Processor is the best. Display is very good.Battery backup,Sound,Camera is above average.",5.0
192,Not worth to money,Don't buy this phone within a year facing many issues in this mobile memory capacity is not working slow-motion camera is water no quality in tht no clarity in camera ippo is much then this totally it's not worth to buy this much money,1.0
193,excellent,very cheap mobile...my favorite one plus always,5.0
194,Awesome Experience,Performance and build Quality superb...,5.0
195,About phone..,Phone and looks are good.. have to use some more time to write reviews...I need bill for this phone...,4.0
196,One of the best Android smartphone,"Nothing to complain, phone works flawless and it's blazing fast, except there is no headphone jack but that is also sorted for me now since I have order Bluetooth earphones.",5.0
197,At this price we can expect good,Well you can see reviews in youtube,4.0
198,Cool phone,"Good one , faster, but no memory slot, no 3.5 audio jack, battery 3700 mAh, some time WhatsApp app stopped.I got One Plus 6T (8 & 128) for 31499, that cool thanks Amazon.",4.0
199,Really - unlock the speed,"Awesome mobile. A high speed technology, fast charging, fast face recognition, but little bit slow fingerprint scanner.",5.0
200,Total waste of money,Pathetic selfie 📷,1.0
201,Group massage facality is not available,Fon is good,5.0
202,One + Speed,Speed is good for the new futures apps,4.0
203,Beast at its Best,"In All sense the OnePlus 6T stands true to its Tag Line of Flagship Killer, in one Word its a Beast rightly squeezed into a Sleek, Elegant Form Factor.",5.0
204,Super,😀👍,4.0
205,Finger printand battery drain,Finger print not working properly and battery,1.0
206,OnePlus delivers again,Nice phone,4.0
207,Fake,I feel its not authentic one plus 6t I bought two phones but one of it is just not feeling like one plus.,1.0
208,Satisfied with the services,Liked the product,5.0
209,Best smart phone ever,Go for it. 😊,5.0
210,One plus,Now i am a oneplus fan. Because.... salute the speed,5.0
211,Hii this is awesome fone from oneplus and touch like I phone,This is really fone who has attitude never settle,5.0
212,Killer phone,"Mobile is awesome, good experience.Unlocked the speed",5.0
213,Mind blowing deal.,Purchased it at 32999. Writing the review after 3 days of purchase. First of all processor is something else it is very efficient and fast. Camera is mind blowing specially low light shots. Battery life is great after 4 pubg games above 60 calls and regular use of Insta and Facebook it turns to 15% after 22 or 23 hours.At present it is great value for money go for it.,5.0
214,Overall is good ....bt Camera quality not good,Camera quality is not upto mark...,4.0
215,Go for the speed.. it's worth it .,It's a super fast feeling . Loved all the bit and thanks Amazon to give so soon before the expected date .,5.0
216,"Not a phone, Its a machine",Amazing,5.0
217,Nice,Nice prouduct,5.0
218,Awesome at this price range, Always dreamt of owning one and finally able to get my hand on it thanks to the pricedrop and discount. All things spoken about OnePlus 6T is true. It's awesome .,5.0
219,Smooth and fast,"This phone is smooth! And fast! Camera is amongst peers....wide angle better than peers ...No heating, no lagging. Overall you can't go wrong with this Phone.",5.0
220,Flagship killer,Great premium smartphone,5.0
221,RAMESWAR SAHOO,Like it,5.0
222,Good,Good quality,5.0
223,Excellent,Excellent,5.0
224,Satisfied with the product....🙏,Awesome phone!Fingerprint 💯💯Camera 💯Gaming 💯,5.0
225,Fingerprint scanner is slow.,Fingerprint scanner is slow.,3.0
226,Uselessand irritating phone(don't be looted by 1+),"Almost useless... A simple Micromax phone is far better than this one, Don't buy this 1+6T mobile.It doesn't have any positive things to share, Everything is too bad.Camera and battery are extremely bad.User interface got zero ratings.WiFi connectivity  is too poor.Camera options/settings are very disappointing.Even Amezon app hangs on this device.Better try mi/Samsung.",1.0
227,Massive,I like so much this device.,5.0
228,Good,Never Settle 💟,5.0
229,8GB Ram ONEPLUS poor performance.,I am shocked to see that an 8GB ram with fastest proc lags. Spend 42000/- to get this ?,1.0
230,Best phone,Best phone with best spec,5.0
231,Not worth,"If you are an iPhone users than don't buy this as this phone is just another android mobile does not give you any thing extra, I have been using it for 2 months and it has started giving me problems when I am not a heavy user. It's better to stick to 6s or so or you are an Android lover than no complains as they are use to it.",3.0
232,Not upto the mark,The camera is worst... Night vision dosent work at all,3.0
233,Best hai,Oneplus the best phone in this range,5.0
234,awesome,awrsome one.,5.0
235,Dream phone,Over all nice mobile picture quality very good,5.0
236,Amazing,"The fingerprint sensor isn't as fast as my OnePlus 2 but the face unlock is super fast. The better life is amazing although there has been a small issue with the camera that turns every picture I take under artificial light, a shade darker but other than that, the phone has not disappointed.",5.0
237,i am in love with oneplus❣️😍😍😃😃,amazing fabulous,5.0
238,MOST COLOURFUL PHOTO,MOST COLOURFUL PHOTO,5.0
239,Goof,Good,4.0
240,Awesome phone,Awesome phone no problem after 6 months usages,5.0
241,Gud,Gud,5.0
242,Worth buying,Good and bad both. Over all not any problem. Worth buying,5.0
243,Must buy,Wah... What a mobile.. awesome.. amazing performance..,5.0
244,Good,Good,5.0
245,Nice mobile but dissatisfied with fingerprint reader,Thanks,4.0
246,Love Oneplus,What a masterpiece.. Really loved it.,5.0
247,Good one,Battery life efficiency is less but it's a fast charger which is dominating it,5.0
248,Excellent phone,Good battery life,5.0
249,Oneplus 6T,Style & performance,5.0
250,Must buy at this price.,Worth spending the amount for this Phone,5.0
251,Waste,Waste,1.0
252,Writing this after a couple of days of use.,Simply wowsome.. a great buy for RS 31499/-Super fast device with amazing inbuilt features.,5.0
253,Nothing,GOOD,5.0
254,Review after 6 months of use,"If u compare with iphone,oneplus will surely lag in built quality,bt it will be ahead in battery performance!Pros: Camera, Battery performance, Display, Fast processorCons: Type C port for headphone, Back panel is scratch prone, 3d touch not available(available in iphone)",5.0
255,Still can't believe wasted 51000 on this piece,Switched from i phone 6 after 3 yrs use to this..the superfast processor is something which will amaze you..front camera has an issue.. will visit the service center..the phone lacks in  smartness in internal softwares..overall ok experience will switch to galaxy s10 shortly..,4.0
256,Best smartphone,Best device ever,5.0
