,Title,Review,Rating
257,Issue in front camera,I am having problem in front camera due to that face recognition is also not working,4.0
258,Nice,Good phone,5.0
259,One plus 6t,Got for ony 26k 128 gb and 8 GB ramAmazing phone very satisfied,5.0
260,Truly a FLAGSHIP KILLER. Best of all brand like Samsung and Honor in term of Speed.,"Thanks to Amazon which give me the product the next day when i ordered. Super fast delivery.But please improve your packaging quality, as no safety is there the phone box is just in a Amazon ploy bag packing.About phone:-Omg🤩This is a Beast of all android smartphone . It can literally be called as speedy device of all android phones. Camera is awesome, slow motion is not upto the mark , but overall excellent photos can be taken out from this phone . Lookwise (mirror black ) killer looks . And the phone is truly a FLAGSHIP KILLER.",5.0
261,Fault,Mobile speaker while calling producing  vibration,3.0
262,Average phone,Price drope too much disappointed,3.0
263,Best smartphone,Best smartphone out there for 40k,5.0
264,OnePlus mobile its very good quality mobile.,Ear phone jackAnd battery mh 4000 req. Customer,5.0
265,It can't get any better😍!!,Bought it on deal for 28K. Too much worth for money. Excellent battery performance!!,5.0
266,Clock Issue,Clock is changing time automatically when switched off & onShow wrong time again when switched off & on get's corrected,2.0
267,Summer Sale = Factory Rejected Pieces,Rejected pieces are being sold here,1.0
268,Still have room for betterment,"Finger print reader is excellent... battery performance can be improved more...face recognition ,still miles to go",4.0
269,Defective,My phone doesn't work on general mode. It's damn annoying.,1.0
270,Want to replace now and also want my money back,Want to replace now and also want my money back,1.0
271,!,Brilliant phone,5.0
272,Very Good,Superb,5.0
273,Hib,Bknk,5.0
274,Finger print won't work some time but face unlock is good,I like battery back up and slim body of this phone,5.0
275,Good phone,All rounder,4.0
276,NO. 1 PHONE,GOOD LOOKING AND SMART AND EASY TO USE,5.0
277,OnePlus 6T - a STAR performer,"I have been wanting to become part of the OnePlus family for years.An opportunity came, where there was a great deal on OnePlus phones and I grabbed it. Thanks Amazon for this.the phone is a powerhouse.everything is very very fast. Be it navigation, gaming, taking photos, online browsing or social media apps. everything is just fast.camera detailed review is there online. in lay man's language photography experience is very good. both selfie and primary cameras. Awesome results.will post additional comments once I have used it for longer period. until then super happy with the Phone.proud owner of OnePlus 6T.",5.0
278,Best phone in this price range and surely will last 3-4 years without any doubt. IA,Best phone in this price range and surely will last 3-4 years without any doubt. IA,5.0
279,Nice choice for this budget,I like all it's features but dislike unlocking speed,5.0
280,1+6t phone,Nice phone,5.0
281,Good for technology lovers,Advance phone....,5.0
282,Absolutely mind blowing,You can just go for this deal as it is premium phone..with all the features and decent pricing ...no other company is giving this features at this price..got this phone at 35.5k,5.0
283,Beast,finger print is slow,5.0
284,Excellent Device.,"Slower than Conventional Fingerprint Sensors. Best works when ur finger is super dry. Battery life is ok, but Fast charging Changes the Game altogether, face recognition is super fast.",5.0
285,Fingerprint don't like,Fingerprint,1.0
286,Best,Best,5.0
287,Fantastic,Mind blowing,5.0
288,Quality is awesome,Been a few days only. No complaints. This machine is fast .. real fast..,5.0
289,Best buy in 30 k better than poco F1 which is also charging 25 k but screen is just a treat to eye,"Guestures are not working properly forcibly using back menu configurationIn low light camera flatters and seems like budget camera ,but night scape is goodIn good lighting conditions camera shines like a flagship thanks to F1.7 aperture camera",4.0
290,EXCELLENT PHONE BY ONE PLUS.,DELIVERY BY AMAZON WAS POOR.BUT PHONE IS AWESOME RECOMMENDED TO GO FOR IT.,5.0
291,Vun,Fhbvh,5.0
292,Looks like no more consistent quality control at production line.,"One+ as a company is not trustable for it's consistent nature anymore. They came as a very promising startup and their best product so far was their first mobile One+1. I used that for 28 months and then it was dead. That was ok because of the relatively low cost. Since then the cost of the new mobiles from One+ has more than doubled, and most of the increased value is goings to Amitabh Bachan and marketing gimmicks. Remember One+ 1 was never marketed in any way other than the word of mouth and it was a brilliant product relative to its cost. Never Settle was true to it's phrase and One+ became a trusted brand for its quality. From there onwards the consistent nature of the company was on a degrading trip focusing more on gimmicks than quality. This mobile is not worth more than ₹21000  - 24000 at the most. Lots of defect mobiles is on the market and that shows the lack of quality control in the production line.",1.0
293,Excellent,Excellent mobile,5.0
294,Awesome device,No words. Awesome device.,5.0
295,7 PRO LAUNCH BASHED MID SEGMENT PHONES,We don't have a better deal than this.,5.0
296,Notch is getting heated,I want my mobile phone to be replaced. I am not feeling much statisfed with this product. It's been seven days I have purchased it. The phone is getting heat near notch area. I don't know why it is getting heated,1.0
297,Always OnePlus did Good Job,I bought oneplus 6t for just Rs 32999.00Good one... Don't compare any other smartphone.,5.0
298,Poor quality of ROM,Poor quality what I accept j didn't find very slow in gaming mode .,2.0
299,It's a value for money..!!,It's awesomeI didn't found a lag in anything,5.0
300,Noice,Noice,5.0
301,Good phone,Battery life and face recognition,5.0
302,Kati zaharrr,Overall amazing product at this discounted price!!,5.0
303,Worth The Price,"I Was Worried Whether I Should Buy This Phone Or Not After Seeing Negative Reviews But Let Me Tell You This Phone Is A Masterpiece At This Price.. Bought This Product During The Sale Nd I'm Really Happy Nd Satisfied.. Everything Thing Is Perfect Fingerprint Reader, Face Recognition, Performance The Only Concern Is Battery Life But Don't Worry It's Fine Comparing To Samsung's 4000 mah Batteries Phone It's Not Gonna Drain 😉",5.0
304,Good experience with Amazon and with the product quality and it's packaging,Overall nice product..what could have been even better is the fingerprint sensor to be more quick.,4.0
305,2 day usage review,"Finger print reader can be more faster.Phone is awesome as of now, it's been 2 days only. Shall give full review may be after 2-3 months usage.",5.0
306,Awesome phone,Extraordinary and worth of every penny,5.0
307,fabulous oneplus,"good battery life, clean nd minimal oxygen os, nice camera",5.0
308,Excellent Product,"Must buy phone. Excellent product, it's beautiful, charging is super fast, with 10gb ram running is smooth and lag free.",5.0
309,Amit sidam,Superb phone and gread discount to purchase,5.0
310,A Beast,"A beast, no one can match and best flagship phone in market right now ..",5.0
311,Awesome,This phone is amazing,5.0
312,Awesome phone,Awesome,5.0
313,Awesome,Very nice in all things,5.0
314,Nice product...,...this mobile beats I phone in low price than I phone,5.0
315,"Flagship phone with flagship features , Good",Good choice,5.0
316,Ok,Ok,3.0
317,Best!!!!!!!,"This is an awesome phone. Awesome touch, amazing battery life and picture quality. Go for it.",5.0
318,One plus 6t unlock power,Super Phone,5.0
319,Superb Handset,It's been 2 days since I am using this phone and I am in love with my OnePlus 6t.,5.0
320,Superb,Superb,5.0
321,Is good,So nice,5.0
322,Performance ✓ No. 1,Battery life should be more powerful 8/10Fingerprint reader 8/10Facelock 10/10Performance 10/10Design 10/10Camera 9.5/10C-type charging 10/10,5.0
323,Its best experience,I love this phone,5.0
324,Expected more,Expected more,3.0
325,We sala cup namde,Rcb fan forever,5.0
326,Keep out of stock Everytime so tht people will have another option Redmi,Thanks to one plus for keeping an offer thought if buying Redmi note 7pro was keeping on waiting Everytime I search it was not available so finally got a nice phone which is much better tht Redmi phone.,5.0
327,Superp,Perfect smartphone one plus 6T.,5.0
328,Value for money and User experience,"This is my first Oneplus and I bought this in mind that it will remain with me for at least 3 year.So things that I liked about it are display,speed and the design of phone. One of the best thing about oneplus devices is that they will give you software support for almost every phone they have ever created so far I am quiet assured that this phone will be last to 3 year without any glitches.One of the major con of this phone that I facing right now is the finger print sensor although it looks and feel good but the speed to unlock the phone that everyone wanted is still missing. Kindaa slow sometime.Best thing about oneplus that I come to know that It has a huge community and they listen to your request about user experience so if you have some issue in your phone hit the community and get your response just like in reddit.",5.0
329,Good product,"Good product, but cannot compete with apple",5.0
330,"""Never Settle"", the tagline defines it.","This is a power packed smartphone. It has an excellent camera.The fingerprint scanner is not so great but it gets better after few days of use.The face unlock is great, it compensates for the fingerprint scanner.",5.0
331,Screen is not working well,Touch is not smooth..,4.0
332,Very for Money,Over all Awesome  performance and  super camera quality  value for money,5.0
333,Amazon kindly look into the matter and revert back at the soonest.,"I didn't like the camera quality at all, its so poor , kindly resolve my issue as soon as possible.i purchased this phone from amazon on this tuesday. Hope to be attended at the soonest",2.0
334,Some issues,I having some issues on my phone touch screen,1.0
335,Feel cheated,"Bought a One Plus 6T as an anniversary gift for my wife and turns up the brand new phone is not working. Really disappointed with the product. I am myself a OnePlus user and very happy with it, but this time it's been a horrible experience.",1.0
336,Very good 👍 mobile,Value for money,5.0
337,I regret buying this phone. Nothing is good about this phone,Not a good phone.. I regret buying it,1.0
338,Finger print scanner very slowly opening,Finger print scanner taking time to unlock,5.0
339,Rather but one plus 6 or 7.,"In a nutshell, the phone is just not worth the price tag it comes with.",1.0
340,Overall cool device but need some improvements for audio jack port etc.,"This phone is cool but I wish I could connect my earphones directly without connetor. While using camera in night mode or portrait mode, camera app gets closed down ( This happens sometimes and again starts normally ). Speakers are at the bottom of phone , that's bit bad for me.  It is having cool look with big screen and thin width.",4.0
341,Many software issue,"Once it's toch screen doesn't work for th whole night, fingerprint sensor still not working, frequently Network drop and many bugs",5.0
342,"Media sound is not working, dispute full volume",Media sound is not working,3.0
343,Battery issues,Battery somehow I am observing is smaller for this modelGetting drain faster.,5.0
344,Good phone,Good phone. Very fast but finger lick not working properly and face lock does not work in din light,5.0
345,Amazing,It's a wonderful phone,5.0
346,Fast n Smooth,Excellent device. Smooth scrolling. Multi tasking.,5.0
347,Oneplus 6T good phone,i bought this phone with offer Rs.31.5k and past two days i am using it.Pros:1.Processing Speed2. Camera good in low light as well as normal.3.Design4.On screen finger print5.DesignCons:1.Battery life not expected level (i need more time to give full feedback on this).,4.0
348,Value for money,Awesome,5.0
349,🔋 Battery backup is almost a day for me.,🔋 Battery backup is almost a day for me.,5.0
350,Awesome phone,Awesome built quality. Indisplay fingerprint scanner is a little slow as compared to normal scanner. Battery life and fast charger is damn good.,4.0
351,Really good quality,One hell of a phone. Bought it for my wife and she is a heavy user. Lasts her through the day. The best part doesn't take long to charge.,5.0
352,Fabulous Phone. Happy Customer!,"The phone arrived the very next day in prime condition, secure packaging with OTP confirmation - Amazon delivery on point!This is the first time I'm using a One Plus product and I am happy to say that this has been a great purchase and I am having a wonderful time using the phone. The face recognition is amazing - it's almost creepy!The fingerprint reader I almost never use because of the face recognition but the effects are cool.The battery life is ok especially with all the applications running in the background.I have had the best gaming experience, I didn't think it could be this good!This phone is a monster when it comes to taking photos! Low light photos look amazing!If I had to mention any disadvantage to the phone it would be:I miss the earphone jack, it's very weird to have to use the extension.",5.0
353,Great quality,It’s a very stylish phone with great quality but battery back up is not so good for heavy usage,4.0
354,Who cares,Every Niger should own one of these,4.0
355,Best Buy Ever!!,Bought this Phone twice. it just that good.,5.0
356,It's awesome,"Good service, Love to be a continue as One plus community, I am using one plus device since last 6 years and I never disappointed with Oneplus. Keep growing",5.0
357,BEST DESIGN,"LIKE- MODEL,SOUND ,PROCESS PERFORMANCE, CAMERA QUALITY VERY GOOD, BATTERY TWO DAYS USED, INTERNET BROWSING VERY VERY FAST FOR JIO NET,DISLIKE-NO HEAD PHONE JACK, NO WIRELESS CHARGE,",5.0
358,Flawless,What is even there to dislike about this product?,5.0
359,Better than any smart phone available,Beautiful product . I have been a repeat customer of OnePlus . Used 3t for 2 and  years and never disappointed with the product,5.0
360,A preliminary report,Not used the phone to its full capacity and it’s maximum capabilities.,4.0
361,Phone Silent Mode button is not working,"i have one plus 6T special edition. But having problem with Silent, Vibrate and Ring Button. How to replace the same.Thank youAjay Vadhar",1.0
362,Flagship Killer,best phone ever,5.0
363,Best thing I ever bought. Flagship in every way,Long battery life . An awesome camera. And a formfactor to die for.,5.0
364,Superb Phone,Awesome,5.0
365,Amazing fingerprint scanner,Owesome phone amazing speed nd specially i like finger print scanner More than everything,5.0
366,Excellent,"I like this phone and fingerprint ,facelock, battery life are excellent",5.0
367,Good buy.,The best!,5.0
368,Good,Good features,5.0
369,Good,Overall good phone,4.0
370,Still not up to the mark specially camera section of the phone,"The hope and name OnePlus brand is created in market is huge but camera quality is not up to the mark what I was expected and finger print sensor is not that much quick as I expected but otherwise the speed, speaker and display is super",4.0
371,Overall very good except fingerprint sensor,Mobile is sexy.Fingerprint sensor sucksBut face recognition is very good.Battery life is fine works full day...Camera is awesome,4.0
372,Superb quality and buttersmooth experience!!,Just like that!! A super smooth phone for everyone!!! Got it for an amazing price of 29000 in sale and I love everything about it. Has been using one plus 5 since 2017 and it has never given any trouble ever..so one plus has my loyalty forever now!!!,5.0
373,4stars,"Front camera, face recognition and battery life is excellent sure we can give 5 stars rest all will get 4stars, rear camera is good and takes excellent portrait pictures in day light conditions,rest all features you can get in any 20k mobiles and coming to speed since I never play games in mobiles I don't know and didn't meet any lightning speed in normal apps overall it's a good phone",4.0
374,Awesome phone!,Best One Plus phone,5.0
375,Simply awesome,"Amazing packing, original product, awesome",5.0
376,Amazing,Whoever's looking for next gen smartphone.. this is it!,5.0
377,Camera issue,Phone is very good but I am disappointed by the camera in night when I click a picture I find blue dots in it I don't know what is the probleOver all Phone is goodIs any body having this problem .,3.0
378,Amazing Product,Good,5.0
379,Completely satisfied,"The phone feels great out of the box, I've switched. It's fast as they've said it'll be, no issue what so ever. If you're looking for a top notch phone at a comparatively low price this is it.",5.0
380,Excellent phone,Excellent phone,5.0
381,Great offers great phone..OnePlus always,Real premium phone in every senseSpeaker output is the only led downNeed to try the mighty camera yet,4.0
382,Cool Handset.,Love the Phone,5.0
383,Battery discharging quickly after mobile update..,It's battery discharging even without using mobile phone...😠😠,3.0
384,Very good picture quality and good battery life.,Amazing experience,5.0
385,value for money,"best display i ever had, battery last long for day, camera is awesome, battery charge in just 50-55 min, just the con is there is no 3.5mm audio jack and fingerprint scanner works not too fast also fails many times",5.0
386,A very good package at awesome price,"Terrafic phone, can't complain anything. Just mind-blowing. Thank you amazon for such great offers and Khali size discount😂",5.0
387,I love it,I like everything in this I love it,5.0
388,Great deal,Excellent featured phone..,5.0
389,Awesome Phone,This phone is just Awesome love it.,5.0
390,Superb,Very Superb,5.0
391,Awesome,GOOD ONE,4.0
392,Awesome phone,As expected it is good,5.0
393,Amazing experience,Very nice,4.0
394,Am very much satisfied,Just awesome,5.0
395,Excellent product,Excellent phone and a neat purchase with timely delivery... I am happy with the product,5.0
396,🔥,Fingerprint,5.0
397,Awesome phone,The phone is worth every bit dime you spend on it... I just love it!,5.0
398,Improvement required,Very advance future are seeing for this value. It's not sufficient worth as I thought.,4.0
399,This is the best phone.... Our purchased this for 32000rs summar sale.. Very happy,Just amazing,5.0
400,5 star product from 1+,"Wow, Amazing phone in Amazon, 1+ is really worthy to buy, the design, smoothness, colour, handy etc., The camera clarity is one of best thing in this mobile device, superb clarity, overall I would suggest people to go for 1+, extremely good",5.0
401,Best Phone,its best android phone .,5.0
402,Very good mobile,Very good mobile in all aspects,4.0
403,Flagship killer,"Excellent, real flagship killer",5.0
404,Alert Slider not working Properly,"Alert Slider at the first Day is not working properly.. it works for ""vibrate nd ring"" only.. unable to out on ""silent"" by alert Slider.. called customer service nd they Do not have Refund policy.. BE CAREFUL",3.0
405,Worth every penny!!,This device gives you all you can ask from a phone... there's no scope for unfulfillment of your demands or what you expected out of this gadget....based the on the specs and built it is the BEST PHONE in this price range period.,5.0
406,Camera not good,Cam clarity is very bad,2.0
407,Overall awesome product,Finger print sensor can be good,5.0
408,I hope I didn't received a refubrish phone,Didn't receive the bill with the product and the removing pin for sim was also absent.speaker is not working properly.,1.0
409,Almost perfect,The fingerprint reader is a joke,5.0
410,Camera not good as i was expecting clicking blurry photos,Phone is good but i was expecting very good quality of photos but after purchased i have some issues regarding camera most of the photos are blurry even in day light photos not satisfaction about the 6t camera as i am expecting  not getting that thing from this mobile cameraPlease fix this issue,4.0
411,IPhone to Android user,Best in the market! I neva thought Android was so fun as a iPhone user. Now I will neva go back to ios,5.0
412,Phone performance,Phone processing very slow......and  performance also.....,2.0
413,Deal worth every penny,It's a beast. Worth the buy for the discounted price.,5.0
414,Fingers print not work properly,Fingers print not proper work,3.0
415,Extremely disappointing camera,Extremely poor camera quality. Total waste of money!! The worst part - no option of return is available. Will never suggest OnePlus to anyone!!,1.0
416,On Time Delivery,"Well, the package received was in good condition. Only problem was that the delivery person was so much in hurry and was not ready for 5 minutes. Though I received sms regarding the delivery on 5th May, time was not sure. I just got a call 5 minutes before its delivery from the delivery person. I was about to go out. I expect call to be received atleast  half an hour before its expected delivery. Rest was fine.",4.0
417,Usless phone,Not working in 6 months,1.0
418,A good pone with great features,"Just purchased OP 6T with 8gb ram and 128 gb rom with stunning camera features. Even though it has 3700 mAh battery,  it lasts almost 1 1/days.  Its a value for money. The seller service is also excellent and has given flash service.  Thanks to Amazon.",5.0
419,Magnificent,Just the product itself. 🥰🥰,5.0
420,Good pruduct,On screen finger print is little bit slow,5.0
421,Product Missing,I got my OnePlus 6T yesterday but I found that the ear phones were missing....So please help me clear this issue...,3.0
422,good to use,"nice product and i using still now, very good one, battery, sound picture and camera quality are very nice.",5.0
423,Nice,Nice,5.0
424,Good best,Nice,5.0
425,"Best in class in price , userecperience and specs","What a amazing phone in this price range . Its probably best phone to buy this time. You are getting top specs in processor, camera , Ram, memory.",5.0
426,Checks all the right notes,"I like phones with smaller form factor, easy to keep in pocket. But today's phone market is about large phones, so took the plunge. Oneplus 6t is one helluva phone. Would recommend to everyone.",5.0
427,Battery life and camera quality.,"Camera quality not good as per describe, battery life is also not good only maximum 6 hours after full charge for using net. No any help about by team",2.0
428,Awesome Buy,"Got this recently with hopping discount of almost 11k, adding 6.5k with my current Redmi Note5 Pro, got this beast in 25k effectively. About features, everything is top class.Performance , features, Camera, Battery, look etc",5.0
429,Good product,Good deal,5.0
430,Not good in camera,Poor in sensors,3.0
431,Good Features,Value for money,5.0
432,One plus 6T,"Excellent features and good working performance, Camera also superb",5.0
433,Hang problem,Some times hang during instagram or Facebook messenger use...even if storage ki 25% occupied only....and while using netflix....green screen or disturbed picture screen appears sometimes....,4.0
434,Amazingly Fast..!!,Loved it.,5.0
435,Overall ok,I am facing the issue that when u press the power button the phone is suppose to lock but it is not so....you can unlock it by swiping up......though it is suppose to unlock using face I'd or fingerprint or password.....,4.0
436,Battery drainage.,Battery is draining fast.,5.0
437,Brilliant phone.,The fingerprint sensor doesnot work half of the time but the prompt face unlock does the job everytime even in low light conditions. Overall the phone is superb.I was a bit apprehensive on buying it since the last model but i am glad that i made this choice.Kudos to amazon for delivering the product within 24 hrs.I just fell in love with this peice of technology.,5.0
438,Great product,This phone have a great battery life. One of the best and smooth phones.,5.0
439,Over charged and poor performance,Also as I have seen that I have paid 37999 rs. For 6 GB Ram and 128GB ROM handset purchased on 23-01-19 and now you offer 8 GB Ram and 128GB ROM handset only 32999 rs.It's such a cheated things... As I have been over charged,1.0
440,Hdcf bank applying 18% taxes along with emi,Hdfc bank is applying taxes @18% rate and the emi was no cost but still hdfc bank asking for 18%taxes .....please Amazon intervention in this case and remove all the emi taxes as it was deal with  6month no cost emi,2.0
441,Ultra Fast device,"Super awesome device with lots of customizations and smooth UI, game play, etc. Thanks to oneplus for such an amazing experience. Just hoping improvements on fingerprint scanner via software upgrades as it often fails to recognize the finger print.",5.0
442,Great phone but the charger not working effeciently n the battery doesn't work well.,Been using OnePlus n it's dash charger for years now. The charger I received with my new OnePlus 6t is not working effeciently work as the OnePlus 6 charger I have. Hope the issue is just with the charger not the phone.PS Great phone though. Happy with it. Battery life is not efficient too.Was hoping to just replace the charger.,2.0
443,Good phone,Nice one,5.0
444,Best,Best,5.0
445,Oneplus 6T,"As usual, it's mind blowing 😎",5.0
446,Awesome phone,Awesome phone..... At an awesome price of 31500....really a good phone to buy.,5.0
447,good,Good phone. I am already using 1+ phone,4.0
448,Ok,Nice product,4.0
449,Face unlock super,Good product,5.0
450,Over all good but in the box I didn't get the sim ejector,Sim ejector not came in the box,4.0
451,Good phone,Pros:Blazing fastGood face unlockGreat user experienceCons :Fingerprint scanner ( it's very irritating )Also I didn't like the price the brand is increasing with every phone,4.0
452,OnePlus 6T,An awesome product from one plus again...,4.0
453,Flagship killers,Awesome,4.0
454,Quality,The camera quality is not good,1.0
455,Superb phone in the price range 30000 to 35000.,"Superb phone with superb features,but fingerprint reader is takeling little seconds than others for unlock the mobile,otherwise it's an owsem product by one plus,I also want to thank Amazon for appreciable services like 1 day dilevery and offer etc...",5.0
456,Price dropped after I purchased one plus 6T,Price dropped for about Rs. 5000 within weeks of my purchase. My heart broke on seeing it. Is there anyway to compensate my loss .,4.0
457,Best Phone till date,"Hi Guys !There are already thousands of positive reviews about the phone, but I still want to share my experience. I purchased it couple of days back on ‘Summer Sale’. I was previously using OnePlus 3T for last 3years.Pros of this Phone1. Value for money2. Camera quality3. Display size and quality4. Battery life5. Speed6. Aesthetics7. Loudspeaker quality8. Latest OsCons1. Fingerprint sensor could be better responsive2. Missing notification ledOverall a very good deal.",5.0
458,Require bill,Phone is awsm bt i dint get bill with my order plzz send bill to us....,4.0
459,Best smartphone.,Best smartphone in the world i love it....,5.0
460,IT'S A CHINESE PHONE,"Dear All always remember that the ONE  PLUS  is a CHINESE  PHONE maker company.... rest you all are capable to understand, try not to promote Chinese product.....",1.0
461,Amazing Product..,Fully satisfied with the product.Really OnePlus 6T amazing mobile. Everything is good but only drawback is fingerlock sensor is not up to mark.,5.0
462,Premium look,Awesome mobile,5.0
463,Superb,Superb,5.0
464,Couldn't ask for more!,"Like the sleek look, smooth and easy to use functions and ofcourse awesome clarity of the screen.",5.0
465,Costly than one plus 7...,After one plus launch...I feel very bad....one plus 7 is cheap than one plus 6t....one plus 6t has not 5G support... otherwise it is a good phone,1.0
466,One plus 6t rocks!,Awesome phone,5.0
467,Value for money,Value for money,5.0
468,Perfect Premium Smart phone,Best phone...,5.0
469,Speed,Awesome speed like Superman,5.0
470,Super,Super,5.0
471,OnePlus6T- Purchase on 04/05/2019,"""The Beast"" overall and a I-Phone of Android version. It's fully loaded with features, Camera is WOW, Battery backup is good with 3700 mAh battery. Overall all if you have the capability to spend ~35K then go for this and I bet you won't regret it.",5.0
472,After using 3 months,"Pros - ram, space, camera, comfort, sound quality, supportive softwares, speed, touch, display quality, battery.Cons - inbuilt fingerprint sensor doesn't open in fraction of seconds",5.0
473,Good pho e,Good phone,5.0
474,Its performance is excellent,just want to say worth it.display:so good.u will love itBattery:sooo gooodsound:decentface lock:best everfingerprint:not good(in my device),5.0
475,Kadak ek no.,Mast ekdum sexy phone,5.0
476,Lives upto the tagline,Real flagship killer 👏🏾,4.0
477,This is Yum,"Well there nothing you won't like about the phone. Maybe the only fact that it doesn't have a headphone jack. But ppl we need to move the newer gen of wireless. Face recognition is too fast. Battery is pretty good amount. I would tell the reader. Don't hesitate you will have done a good choice by investing in this phone. Buyers, happiness starts for you.",5.0
478,Worthy,"It heats up once I plug- in to charger. If that happens with any of you, please get the battery replaced asap else the phone performance will degrade",3.0
479,Super phone,It's very nice.,5.0
480,Value for money,Everything is perfect,5.0
481,Smooth and speedy,Best phone at reasonable price,5.0
482,Oneplus rockz,The product is brilliant,5.0
483,One plus is the new giant,Still one the best in market. Superfast phone and as smooth as silk.,5.0
484,look,good,5.0
485,Definitely a Must buy,Great product.Worth for the investment.Never settle,5.0
486,Increase battery life,Battery discharges fast,5.0
487,Good,Good,5.0
488,Super power,Beast phone,5.0
489,Worth the money spent,"Love the phone , fast face recognition and good battery life but only thing earphones are not included.",5.0
490,Damaged Product,Screen flickering issue faced within 3 days of useMicrophone problem,1.0
491,Wow,Just a g8 product,5.0
492,Best phone ever,I really like the speed and faceunlockSuper smooth touch really like it,5.0
493,ok,Superb,5.0
494,Nice phone,Nice performance,4.0
495,Fingerprint reader option is pathetic in one plus,Fingerprint reader didn't work properly for me,4.0
496,Extremly Good,Best Phone for Android lovers and others too. Great Built in quality and no question of Hanging.,5.0
497,4.5 out of 5,"It's a awesome device in this range SD845 and 8 GB ram provides awesome performance. Face unlock is unbelievable within in second to unlock the device about fingerprint it's also work fine,Pubg is run like butter smooth ......camera is also good. Go with this premium device.",4.0
498,4 and half* overall,stars shows performance level..😑🖐️,4.0
499,worst phone,after 15 day of use earpiece is not working,1.0
